training_time,TTC_H_ISS,TTC_M_ISS,TTC_G_ISS,TTC_C_ISS,Cap_H_ISS,Cap_M_ISS,Cap_G_ISS,Cap_C_ISS,Next_hop
37011.9,13272.56,51009.61,1145.06,5111.28,522.245,556.714,565.365,606.186,2
38096.96,12187.5,49924.55,60,4026.22,522.245,556.714,565.365,606.186,2
38216.96,12067.5,49804.55,0,3906.22,522.245,556.714,505.365,606.186,2
38662.325,11622.135,49359.185,0,3460.855,522.245,556.714,60,606.186,3
38782.325,11502.135,49239.185,5338.615,3340.855,522.245,556.714,405.521,606.186,3
42063.182,8221.278,45958.328,2057.758,59.998,522.245,556.714,405.521,606.186,3
42183.182,8101.278,45838.328,1937.758,0,522.245,556.714,405.521,546.186,3
42669.368,7615.092,45352.142,1451.572,0,522.245,556.714,405.521,60,2
42789.368,7495.092,45232.142,1331.572,47933.932,522.245,556.714,405.521,354.896,2
44060.944,6223.516,43960.566,59.996,46662.356,522.245,556.714,405.521,354.896,2
44180.944,6103.516,43840.566,0,46542.356,522.245,556.714,345.521,354.896,0
44466.465,5817.995,43555.045,0,46256.835,522.245,556.714,60,354.896,0
44586.465,5697.995,43435.045,5412.085,46136.835,522.245,556.714,455.491,354.896,2
49938.545,345.915,38082.965,60.005,40784.755,522.245,556.714,455.491,354.896,2
50058.545,225.915,37962.965,0,40664.755,522.245,556.714,395.491,354.896,0
50224.464,59.996,37797.046,0,40498.836,522.245,556.714,229.572,354.896,0
50344.464,0,37677.046,0,40378.836,462.145,556.714,109.572,354.896,0
50394.036,0,37627.474,0,40329.264,412.673,556.714,60,354.896,0
50514.03629,0,37507.474,5269.284,40209.264,292.673,556.714,616.423,354.896,2
50746.709,0,37274.801,5036.611,39976.591,60,556.714,616.423,354.896,2
50866.709,5181.131,37154.801,4916.611,39856.591,648.783,556.714,616.423,354.896,2
55723.315,324.525,32298.195,60.005,34999.985,648.783,556.714,616.423,354.896,2
55843.315,204.525,32178.195,0,34879.985,648.783,556.714,556.423,354.896,2
55987.843,59.997,32033.667,0,34735.457,648.783,556.714,411.895,354.896,2
56107.843,0,31913.667,0,34615.457,588.783,556.714,291.895,354.896,0
56339.738,0,31681.772,0,34383.562,356.889,556.714,60,354.896,0
56459.738,0,31561.772,5127.252,34263.562,236.889,556.714,619.988,354.896,2
56636.627,0,31384.883,4950.363,34086.673,60,556.714,619.988,354.896,2
56756.627,5190.943,31264.883,4830.363,33966.673,338.128,556.714,619.988,354.896,2
61526.986,420.584,26494.524,60.004,29196.314,338.128,556.714,619.988,354.896,2
61646.986,300.584,26374.524,0,29076.314,338.128,556.714,559.988,354.896,2
61914.565,60,26106.945,0,28808.735,338.128,556.714,292.409,354.896,0
62034.565,0,25986.945,0,28688.735,278.128,556.714,172.409,354.896,0
62146.974,0,25874.536,0,28576.326,165.719,556.714,60,354.896,0
62252.693,0,25768.817,48054.407,28470.607,60,556.714,147.035,354.896,0
62266.974,0,25754.536,48040.126,28456.326,45.719,556.714,147.035,354.896,0
62372.693,42202.307,25648.817,47934.407,28350.607,278.233,556.714,147.035,354.896,1
87961.514,16613.486,59.996,22345.586,2761.786,278.233,556.714,147.035,354.896,1
88081.514,16493.486,0,22225.586,2641.786,278.233,496.714,147.035,354.896,1
88518.228,16056.772,0,21788.872,2205.072,278.233,60,147.035,354.896,1
88638.228,15936.772,5121.422,21668.872,2085.072,278.233,649.976,147.035,354.896,1
90663.3,13911.7,3096.35,19643.8,60,278.233,649.976,147.035,354.896,1
90783.3,13791.7,2976.35,19523.8,0,278.233,649.976,147.035,294.896,1
91018.196,13556.804,2741.454,19288.904,0,278.233,649.976,147.035,60,1
91138.196,13436.804,2621.454,19168.904,11052.104,278.233,649.976,147.035,0,1
93699.645,10875.355,60.005,16607.455,8490.655,278.233,649.976,147.035,597.298,1
93819.645,10755.355,0,16487.455,8370.655,278.233,589.976,147.035,597.298,1
94349.621,10225.379,0,15957.479,7840.679,278.233,60,147.035,597.298,3
